plotId	plotName	plotTypeSimulation	plotTypeData	datasetId	independentVariable	independentVariableOffset	independentVariableName	legendEntry	xScale	yScale
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	fourABnOH_time	0	Incubation Time [min]	4-ABnOH/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	fourABnOH_time	0	Incubation Time [min]	4-ABnOH/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_time	0	Incubation Time [min]	Rp-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_time	0	Incubation Time [min]	Rp-cAMPS-pAB/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	Rp8_Br_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-Br-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk	Rp8_Br_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-Br-cAMPS-pAB/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	Rp8_pCPT_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-pCPT-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk	Rp8_pCPT_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-pCPT-cAMPS-pAB/Fsk(10)	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__ctrl	time	0	Time [min]	Ctrl	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__Fsk10	time	0	Time [min]	Fsk(10)	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10	time	0	Time [min]	IBMX(100)/Fsk(10)	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__Sp8_Br_cAMPS_AM10	time	0	Time [min]	Sp8-Br-cAMPS-AM(10)	lin	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl	fourABnOH_level	0	Concentration [\muM]	4-ABnOH/Ctrl	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk	fourABnOH_level	0	Concentration [\muM]	4-ABnOH/Fsk(10)	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_level	0	Concentration [\muM]	Rp-cAMPS-pAB/Ctrl	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk	Rp_cAMPS_pAB_level	0	Concentration [\muM]	Rp-cAMPS-pAB/Fsk(10)	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	Rp8_Br_cAMPS_pAB_level	0	Concentration [\muM]	Rp8-Br-cAMPS-pAB/Ctrl	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk	Rp8_Br_cAMPS_pAB_level	0	Concentration [\muM]	Rp8-Br-cAMPS-pAB/Fsk(10)	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	Rp8_pCPT_cAMPS_pAB_level	0	Concentration [\muM]	Rp8-pCPT-cAMPS-pAB/Ctrl	log10	lin
plot3	JI09_150330_Drg353_351_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk	Rp8_pCPT_cAMPS_pAB_level	0	Concentration [\muM]	Rp8-pCPT-cAMPS-pAB/Fsk(10)	log10	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__ctrl_and_ctrl	time	-60	Time [min]	Ctrl/Ctrl	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__ctrl_and_Fsk1	time	-60	Time [min]	Ctrl/Fsk(1)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__ctrl_and_Fsk3	time	-60	Time [min]	Ctrl/Fsk(3)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__ctrl_and_Fsk10	time	-60	Time [min]	Ctrl/Fsk(10)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__H894_and_Fsk3	time	-60	Time [min]	H89(4)/Fsk(3)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__H8910_and_Fsk3	time	-60	Time [min]	H89(10)/Fsk(3)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__H8925_and_Fsk3	time	-60	Time [min]	H89(25)/Fsk(3)	lin	lin
plot4	JI09_151102_Drg421_418_Age	LinePlot	MeanAndSD	JI09_151102_Drg421_418_Age__H8925_and_ctrl	time	-60	Time [min]	H89(25)/Ctrl	lin	lin
plot5	JI09_160126_Drg449_444_CycNuc	BarPlot	MeanAndSD	JI09_160126_Drg449_444_CycNuc__ctrl	condition	0	Condition	Ctrl	lin	lin
plot5	JI09_160126_Drg449_444_CycNuc	BarPlot	MeanAndSD	JI09_160126_Drg449_444_CycNuc__Fsk10_and_IBMX100	condition	0	Condition	IBMX(100)/Fsk(10)	lin	lin
plot5	JI09_160126_Drg449_444_CycNuc	BarPlot	MeanAndSD	JI09_160126_Drg449_444_CycNuc__Sp8_Br_cAMPS_AM10	condition	0	Condition	Sp8-Br-cAMPS-AM(10)	lin	lin
plot6	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__ctrl	time	0	Time [min]	Ctrl	lin	lin
plot6	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__Fsk	time	0	Time [min]	Fsk(10)	lin	lin
plot6	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM	time	0	Time [min]	Sp8-Br-cAMPS-AM(10)	lin	lin
